"","TEST_NAME","8-Hour Bias","8-Hour SD","8-Hour LOA Lower","8-Hour LOA Upper","24-Hour Bias","24-Hour SD","24-Hour LOA Lower","24-Hour LOA Upper","SE 8-Hour Bias","SE 24-Hour Bias","8-Hour 95% Upper CI","8-Hour 95% Lower CI","24-Hour 95% Upper CI","24-Hour 95% Lower CI","8-Hour CI","24-Hour CI","8-Hour Shapiro Wilks","24-Hour Shapiro Wilks","8-Hour Skewness","24-Hour Skewness"
"1","CA",0.036111,1.225713,-2.366286,2.438509,0.008333,1.708696,-3.340711,3.357378,0.204286,0.284783,0.444682,-0.37246,0.577898,-0.561232,"-0.37246 to 0.444682","-0.561232 to 0.577898",0.070058,0.657169,-0.806813,-0.288779
"2","CL",-0.005556,3.119244,-6.119274,6.108163,-0.338889,3.783141,-7.753846,7.076068,0.519874,0.630524,1.034192,-1.045304,0.922158,-1.599936,"-1.045304 to 1.034192","-1.599936 to 0.922158",0.080369,0.001026,0.0646,0.339665
"3","COLOR",-0.527778,1.230241,-2.93905,1.883495,-0.25,1.273353,-2.745772,2.245772,0.20504,0.212226,-0.117698,-0.937858,0.174451,-0.674451,"-0.937858 to -0.117698","-0.674451 to 0.174451",0.000469,0.028415,-1.149054,0.142101
"4","DOC",-0.108333,0.912571,-1.896972,1.680306,-0.197222,0.592084,-1.357707,0.963262,0.152095,0.098681,0.195857,-0.412523,0.000139,-0.394583,"-0.412523 to 0.195857","-0.394583 to 0.000139",7e-05,0.635155,-1.508754,0.33348
"5","K",-0.008333,0.125071,-0.253472,0.236806,-0.036111,0.186934,-0.402502,0.33028,0.020845,0.031156,0.033357,-0.050023,0.0262,-0.098422,"-0.050023 to 0.033357","-0.098422 to 0.0262",0.003099,0.087141,-0.463451,0.510984
"6","MG",0.013889,0.329634,-0.632194,0.659972,0.030556,0.485103,-0.920247,0.981358,0.054939,0.080851,0.123767,-0.095989,0.192257,-0.131145,"-0.095989 to 0.123767","-0.131145 to 0.192257",0.165571,0.049743,-0.556238,0.89678
"7","NA",0.016667,1.207477,-2.349988,2.383322,-0.047222,1.760274,-3.497359,3.402914,0.201246,0.293379,0.419159,-0.385825,0.539536,-0.63398,"-0.385825 to 0.419159","-0.63398 to 0.539536",0.551723,0.833298,0.214273,0.223334
"8","NH4",0.001722,0.011037,-0.01991,0.023355,0.0035,0.009413,-0.014949,0.021949,0.00184,0.001569,0.005401,-0.001957,0.006638,0.000362,"-0.001957 to 0.005401","0.000362 to 0.006638",8e-05,9e-06,0.879382,2.442261
"9","NO2",2.8e-05,0.000845,-0.001628,0.001684,0.000111,0.000523,-0.000913,0.001135,0.000141,8.7e-05,0.00031,-0.000254,0.000285,-6.3e-05,"-0.000254 to 0.00031","-6.3e-05 to 0.000285",0,0,-2.936819,0.15548
"10","NOX",0.000361,0.003016,-0.00555,0.006272,-0.000611,0.002476,-0.005464,0.004242,0.000503,0.000413,0.001366,-0.000644,0.000214,-0.001436,"-0.000644 to 0.001366","-0.001436 to 0.000214",0,2.1e-05,2.468572,-1.108136
