"PROJECT_CODE","STATION_ID","Date","TEST_NAME","Replicate 2","Replicate 3","Replicate 1","mean","Diff rep 1 - rep 2","Diff rep 1 - rep 3","Diff rep 2 - rep 3"
"EVPA","WCA2F1",2010-02-09,"CARBON, DISSOLVED ORGANIC",53.8,54.1,53.4,53.6,-0.399999999999999,-0.700000000000003,-0.300000000000004
"EVPA","WCA2F1",2010-02-09,"AMMONIA-N",0.056,0.046,0.073,0.0645,0.017,0.027,0.01
"EVPA","WCA2F1",2010-02-09,"NITRATE+NITRITE-N",0.005,0.005,0.005,0.005,0,0,0
"EVPA","WCA2F1",2010-02-09,"SODIUM",264.9,261.3,263.6,264.25,-1.29999999999995,2.30000000000001,3.59999999999997
"EVPA","WCA2F1",2010-02-09,"KJELDAHL NITROGEN, TOTAL",2.63,2.6,3.03,2.83,0.4,0.43,0.0299999999999998
"EVPA","WCA2F1",2010-02-09,"SULFATE",21.2,21.3,21.2,21.2,0,-0.100000000000001,-0.100000000000001
"EVPA","WCA2F1",2010-02-09,"COLOR",141,142,141,141,0,-1,-1
"EVPA","WCA2F1",2010-02-09,"CARBON, TOTAL ORGANIC",54.3,53.8,53.4,53.85,-0.899999999999999,-0.399999999999999,0.5
"EVPA","WCA2F1",2010-02-09,"KJELDAHL NITROGEN, DIS",2.53,2.5,2.55,2.54,0.02,0.0499999999999998,0.0299999999999998
"EVPA","WCA2F1",2010-02-09,"PHOSPHATE, DISSOLVED AS P",0.013,0.013,0.014,0.0135,0.001,0.001,0
"EVPA","WCA2F1",2010-02-09,"PHOSPHATE, ORTHO AS P",0.008,0.002,0.008,0.008,0,0.006,0.006
"EVPA","WCA2F1",2010-02-09,"NITRITE-N",0.008,0.008,0.008,0.008,0,0,0
"EVPA","WCA2F1",2010-02-09,"PHOSPHATE, TOTAL AS P",0.021,0.018,0.035,0.028,0.014,0.017,0.003
"EVPA","WCA2F1",2010-02-09,"SILICA",25.1,25.1,25.4,25.25,0.299999999999997,0.299999999999997,0
"EVPA","WCA2F1",2010-02-09,"POTASSIUM",5.5,5.6,5.6,5.55,0.0999999999999996,0,-0.0999999999999996
"EVPA","WCA2F1",2010-02-09,"MAGNESIUM",37.9,38.4,38,37.95,0.100000000000001,-0.399999999999999,-0.5
"EVPA","WCA2F1",2010-02-09,"CALCIUM",98.7,100.1,99.8,99.25,1.09999999999999,-0.299999999999997,-1.39999999999999
"EVPA","WCA2F1",2010-02-09,"CHLORIDE",469,446,458,463.5,-11,12,23
"EVPA","WCA2F1",2010-02-09,"IRON, TOTAL",0.012,0.012,0.021,0.0165,0.009,0.009,0
"EVPA","LOX8",2010-03-01,"PHOSPHATE, DISSOLVED AS P",0.008,0.008,0.008,0.008,0,0,0
"EVPA","LOX8",2010-03-01,"COLOR",48,47,48,48,0,1,1
"EVPA","LOX8",2010-03-01,"CARBON, TOTAL ORGANIC",20.6,21.1,20.7,20.65,0.0999999999999979,-0.400000000000002,-0.5
"EVPA","LOX8",2010-03-01,"PHOSPHATE, TOTAL AS P",0.008,0.008,0.008,0.008,0,0,0
"EVPA","LOX8",2010-03-01,"CARBON, DISSOLVED ORGANIC",19.7,19.9,20.1,19.9,0.400000000000002,0.200000000000003,-0.199999999999999
"EVPA","LOX8",2010-03-01,"PHOSPHATE, ORTHO AS P",0.002,0.002,0.002,0.002,0,0,0
"EVPA","LOX8",2010-03-01,"NITRATE+NITRITE-N",0.005,0.005,0.005,0.005,0,0,0
"EVPA","LOX8",2010-03-01,"SILICA",0.56,0.56,0.56,0.56,0,0,0
"EVPA","LOX8",2010-03-01,"NITRITE-N",0.008,0.008,0.002,0.005,-0.006,-0.006,0
"EVPA","LOX8",2010-03-01,"POTASSIUM",0.4,0.4,0.4,0.4,0,0,0
"EVPA","LOX8",2010-03-01,"SODIUM",11.4,11.2,11.3,11.35,-0.0999999999999996,0.100000000000001,0.200000000000001
"EVPA","LOX8",2010-03-01,"MAGNESIUM",1.4,1.4,1.4,1.4,0,0,0
"EVPA","LOX8",2010-03-01,"CALCIUM",3.9,3.9,3.8,3.85,-0.1,-0.1,0
"EVPA","LOX8",2010-03-01,"AMMONIA-N",0.005,0.02,0.02,0.0125,0.015,0,-0.015
"EVPA","LOX8",2010-03-01,"KJELDAHL NITROGEN, DIS",1.04,1,1.03,1.035,-0.01,0.03,0.04
"EVPA","LOX8",2010-03-01,"CHLORIDE",19,19,18.9,18.95,-0.100000000000001,-0.100000000000001,0
"EVPA","LOX8",2010-03-01,"SULFATE",0.1,0.1,0.1,0.1,0,0,0
"EVPA","LOX8",2010-03-01,"KJELDAHL NITROGEN, TOTAL",1.04,1.08,1.08,1.06,0.04,0,-0.04
"EVPA","LOX8",2010-03-01,"IRON, TOTAL",0.017,0.017,0.017,0.017,0,0,0
"EVPA","LOX8",2010-06-02,"AMMONIA-N",0.02,0.02,0.02,0.02,0,0,0
"EVPA","LOX8",2010-06-02,"SULFATE",0.1,0.1,0.1,0.1,0,0,0
"EVPA","LOX8",2010-06-02,"CHLORIDE",13.8,13.7,13.9,13.85,0.0999999999999996,0.200000000000001,0.100000000000001
"EVPA","LOX8",2010-06-02,"CALCIUM",3.8,3.7,3.7,3.75,-0.0999999999999996,0,0.0999999999999996
"EVPA","LOX8",2010-06-02,"MAGNESIUM",1.4,1.4,1.4,1.4,0,0,0
"EVPA","LOX8",2010-06-02,"SODIUM",8.6,8.6,8.6,8.6,0,0,0
"EVPA","LOX8",2010-06-02,"POTASSIUM",0.4,0.4,0.5,0.45,0.1,0.1,0
"EVPA","LOX8",2010-06-02,"KJELDAHL NITROGEN, DIS",1.08,1.05,1,1.04,-0.0800000000000001,-0.05,0.03
"EVPA","LOX8",2010-06-02,"NITRATE+NITRITE-N",0.005,0.005,0.005,0.005,0,0,0
"EVPA","LOX8",2010-06-02,"KJELDAHL NITROGEN, TOTAL",1.13,1.09,1.08,1.105,-0.0499999999999998,-0.01,0.0399999999999998
"EVPA","LOX8",2010-06-02,"IRON, TOTAL",0.03,0.03,0.03,0.03,0,0,0
"EVPA","LOX8",2010-06-02,"CARBON, TOTAL ORGANIC",15.2,16,15.7,15.45,0.5,-0.300000000000001,-0.800000000000001
"EVPA","LOX8",2010-06-02,"PHOSPHATE, DISSOLVED AS P",0.008,0.008,0.008,0.008,0,0,0
"EVPA","LOX8",2010-06-02,"COLOR",51,49,51,51,0,2,2
"EVPA","LOX8",2010-06-02,"PHOSPHATE, TOTAL AS P",0.008,0.008,0.008,0.008,0,0,0
"EVPA","LOX8",2010-06-02,"PHOSPHATE, ORTHO AS P",0.002,0.002,0.002,0.002,0,0,0
"EVPA","LOX8",2010-06-02,"NITRITE-N",0.008,0.002,0.008,0.008,0,0.006,0.006
"EVPA","LOX8",2010-06-02,"CARBON, DISSOLVED ORGANIC",15,15.6,16,15.5,1,0.4,-0.6
"EVPA","LOX8",2010-06-02,"SILICA",2.65,2.61,2.63,2.64,-0.02,0.02,0.04
"EVPA","CA28",2010-06-09,"CARBON, DISSOLVED ORGANIC",25.6,25.5,25.3,25.45,-0.300000000000001,-0.199999999999999,0.100000000000001
"EVPA","CA28",2010-06-09,"IRON, TOTAL",0.012,0.012,0.012,0.012,0,0,0
"EVPA","CA28",2010-06-09,"AMMONIA-N",0.041,0.041,0.039,0.04,-0.002,-0.002,0
"EVPA","CA28",2010-06-09,"NITRATE+NITRITE-N",0.046,0.043,0.049,0.0475,0.003,0.00600000000000001,0.003
"EVPA","CA28",2010-06-09,"CALCIUM",73.3,72.7,70.9,72.1,-2.39999999999999,-1.8,0.599999999999994
"EVPA","CA28",2010-06-09,"POTASSIUM",6.7,6.6,6.7,6.7,0,0.100000000000001,0.100000000000001
"EVPA","CA28",2010-06-09,"SODIUM",60,59.4,58.2,59.1,-1.8,-1.2,0.600000000000001
"EVPA","CA28",2010-06-09,"MAGNESIUM",23.2,23.1,23,23.1,-0.199999999999999,-0.100000000000001,0.0999999999999979
"EVPA","CA28",2010-06-09,"KJELDAHL NITROGEN, TOTAL",1.74,1.76,1.76,1.75,0.02,0,-0.02
"EVPA","CA28",2010-06-09,"SULFATE",59.1,59,59,59.05,-0.100000000000001,0,0.100000000000001
"EVPA","CA28",2010-06-09,"CHLORIDE",94.6,93.2,93.1,93.85,-1.5,-0.100000000000009,1.39999999999999
"EVPA","CA28",2010-06-09,"COLOR",102,102,102,102,0,0,0
"EVPA","CA28",2010-06-09,"CARBON, TOTAL ORGANIC",25.7,26.2,25.5,25.6,-0.199999999999999,-0.699999999999999,-0.5
"EVPA","CA28",2010-06-09,"KJELDAHL NITROGEN, DIS",1.72,1.64,1.69,1.705,-0.03,0.05,0.0800000000000001
"EVPA","CA28",2010-06-09,"PHOSPHATE, DISSOLVED AS P",0.009,0.009,0.008,0.0085,-0.000999999999999999,-0.000999999999999999,0
"EVPA","CA28",2010-06-09,"PHOSPHATE, ORTHO AS P",0.002,0.002,0.002,0.002,0,0,0
"EVPA","CA28",2010-06-09,"NITRITE-N",0.008,0.008,0.008,0.008,0,0,0
"EVPA","CA28",2010-06-09,"PHOSPHATE, TOTAL AS P",0.017,0.019,0.02,0.0185,0.003,0.001,-0.002
"EVPA","CA28",2010-06-09,"SILICA",14.7,14.8,14.8,14.75,0.100000000000001,0,-0.100000000000001
"EVPA","LOX8",2010-09-07,"SODIUM",7,7,7,7,0,0,0
"EVPA","LOX8",2010-09-07,"MAGNESIUM",1.2,1.2,1.2,1.2,0,0,0
"EVPA","LOX8",2010-09-07,"CALCIUM",4.1,4.1,3.9,4,-0.2,-0.2,0
"EVPA","LOX8",2010-09-07,"KJELDAHL NITROGEN, DIS",0.75,0.74,0.78,0.765,0.03,0.04,0.01
"EVPA","LOX8",2010-09-07,"AMMONIA-N",0.02,0.02,0.02,0.02,0,0,0
"EVPA","LOX8",2010-09-07,"NITRATE+NITRITE-N",0.005,0.02,0.005,0.005,0,-0.015,-0.015
"EVPA","LOX8",2010-09-07,"KJELDAHL NITROGEN, TOTAL",0.81,0.81,0.82,0.815,0.0099999999999999,0.0099999999999999,0
"EVPA","LOX8",2010-09-07,"IRON, TOTAL",0.03,0.03,0.028,0.029,-0.002,-0.002,0
"EVPA","LOX8",2010-09-07,"CARBON, TOTAL ORGANIC",13.7,14,13.9,13.8,0.200000000000001,-0.0999999999999996,-0.300000000000001
