Analyte,n,Group,Mean (15-min Preservetion),Mean (Delayed Preservation),Min Difference,Max Difference,Median Difference,Mean Difference,Percent Difference,Units,MDL,Std Dev,Wilcox Rank Signed,Shapiro Wilks,MDL/Mean Diff,Outside Uncertainty
CA,36,8-hour preservation,66.561,66.525,-3.700,2.200,0.000,0.036,-0.054%,mg/L,0.300,1.226,0.626,0.070,8.308,0
CL,36,8-hour preservation,104.700,104.706,-6.900,6.000,0.050,-0.006,0.005%,mg/L,0.100,3.119,0.799,0.080,-18.000,3
COLOR,36,8-hour preservation,71.417,71.944,-5.000,2.000,0.000,-0.528,0.739%,PCU,1.000,1.230,0.015,0.000,-1.895,0
DOC,36,8-hour preservation,27.739,27.847,-2.800,1.600,0.100,-0.108,0.391%,mg/L,0.800,0.913,0.795,0.000,-7.385,2
K,36,8-hour preservation,7.900,7.908,-0.400,0.200,0.000,-0.008,0.105%,mg/L,0.100,0.125,0.967,0.003,-12.000,0
MG,36,8-hour preservation,22.256,22.242,-0.800,0.700,0.100,0.014,-0.062%,mg/L,0.100,0.330,0.554,0.166,7.200,0
NA,36,8-hour preservation,68.911,68.894,-2.500,2.600,0.000,0.017,-0.024%,mg/L,0.400,1.207,0.973,0.552,24.000,0
NH4,36,8-hour preservation,0.168,0.167,-0.030,0.041,0.001,0.002,-1.022%,mg/L,0.005,0.011,0.301,0.000,2.903,5
NO2,36,8-hour preservation,0.003,0.003,-0.004,0.001,0.000,0.000,-0.909%,mg/L,0.002,0.001,0.437,0.000,72.000,1
NO3,36,8-hour preservation,0.040,0.039,-0.004,0.012,0.000,0.000,-0.976%,mg/L,0.005,0.003,0.949,0.000,12.857,0
OPO4,36,8-hour preservation,0.017,0.018,-0.001,0.001,0.000,0.000,0.478%,mg/L,0.002,0.000,0.322,0.000,-24.000,0
SIO2,36,8-hour preservation,12.159,12.133,-0.200,0.300,0.000,0.026,-0.217%,mg/L,0.050,0.106,0.203,0.098,1.895,0
SO4,36,8-hour preservation,32.725,32.811,-2.900,1.100,0.100,-0.086,0.263%,mg/L,0.100,0.885,0.198,0.000,-1.161,4
TDN,36,8-hour preservation,1.795,1.794,-0.080,0.060,0.000,0.001,-0.046%,mg/L,0.020,0.029,0.717,0.041,24.000,0
TDPO4,36,8-hour preservation,0.025,0.026,-0.003,0.002,-0.001,-0.001,2.655%,mg/L,0.002,0.001,0.002,0.001,-3.000,1
TDSAL,36,8-hour preservation,8.611,8.417,-2.000,11.000,0.000,0.194,-2.258%,ug/L,8.000,1.954,0.760,0.000,41.143,1
TDSFE,36,8-hour preservation,4.139,4.639,-7.000,7.000,0.000,-0.500,12.081%,ug/L,3.000,1.978,0.041,0.000,-6.000,2
TN,36,8-hour preservation,2.026,2.010,-0.080,0.190,0.020,0.016,-0.782%,mg/L,0.020,0.047,0.055,0.003,1.263,0
TOC,36,8-hour preservation,28.203,28.400,-2.500,0.600,0.000,-0.197,0.699%,mg/L,0.800,0.711,0.486,0.000,-4.056,0
TPO4,36,8-hour preservation,0.050,0.050,-0.008,0.012,0.000,0.000,0.056%,mg/L,0.002,0.003,0.568,0.000,-72.000,0
CA,36,24-hour preservation,66.561,66.553,-4.600,3.900,0.100,0.008,-0.013%,mg/L,0.300,1.709,0.851,0.657,36.000,1
CL,36,24-hour preservation,104.700,105.039,-7.100,8.000,-0.300,-0.339,0.324%,mg/L,0.100,3.783,0.195,0.001,-0.295,9
COLOR,36,24-hour preservation,71.417,71.667,-3.000,3.000,0.000,-0.250,0.350%,PCU,1.000,1.273,0.254,0.028,-4.000,0
DOC,36,24-hour preservation,27.739,27.936,-1.400,1.200,-0.200,-0.197,0.711%,mg/L,0.800,0.592,0.050,0.635,-4.056,0
K,36,24-hour preservation,7.900,7.936,-0.400,0.500,0.000,-0.036,0.457%,mg/L,0.100,0.187,0.246,0.087,-2.769,0
MG,36,24-hour preservation,22.256,22.225,-0.900,1.500,0.000,0.031,-0.137%,mg/L,0.100,0.485,0.801,0.050,3.273,0
NA,36,24-hour preservation,68.911,68.958,-3.500,4.700,-0.050,-0.047,0.069%,mg/L,0.400,1.760,0.838,0.833,-8.471,1
NH4,36,24-hour preservation,0.168,0.165,-0.011,0.045,0.002,0.004,-2.077%,mg/L,0.005,0.009,0.027,0.000,1.429,6
NO2,36,24-hour preservation,0.003,0.003,-0.001,0.001,0.000,0.000,-3.636%,mg/L,0.002,0.001,0.227,0.000,18.000,0
NO3,36,24-hour preservation,0.040,0.041,-0.008,0.003,0.000,-0.001,1.672%,mg/L,0.005,0.002,0.170,0.000,-7.500,2
OPO4,36,24-hour preservation,0.017,0.018,-0.002,0.000,0.000,0.000,0.638%,mg/L,0.002,0.000,0.371,0.000,-18.000,0
SIO2,36,24-hour preservation,12.159,12.112,-0.300,0.300,0.010,0.047,-0.386%,mg/L,0.050,0.119,0.013,0.030,1.065,0
SO4,36,24-hour preservation,32.725,33.033,-3.800,1.400,0.100,-0.308,0.942%,mg/L,0.100,1.476,0.436,0.000,-0.324,8
TDN,36,24-hour preservation,1.795,1.817,-0.180,0.070,-0.020,-0.022,1.238%,mg/L,0.020,0.042,0.003,0.005,-0.900,1
TDPO4,36,24-hour preservation,0.025,0.026,-0.005,0.001,0.000,-0.001,2.987%,mg/L,0.002,0.002,0.007,0.000,-2.667,1
TDSAL,36,24-hour preservation,8.611,8.278,-3.000,11.000,0.000,0.333,-3.871%,ug/L,8.000,1.957,0.389,0.000,24.000,1
TDSFE,36,24-hour preservation,4.139,3.972,-2.000,7.000,0.000,0.167,-4.027%,ug/L,3.000,1.363,0.805,0.000,18.000,1
TN,36,24-hour preservation,2.026,2.035,-0.070,0.050,-0.005,-0.009,0.466%,mg/L,0.020,0.031,0.104,0.143,-2.118,0
TOC,36,24-hour preservation,28.203,28.278,-1.500,0.900,0.100,-0.075,0.266%,mg/L,0.800,0.670,0.617,0.082,-10.667,0
TPO4,36,24-hour preservation,0.050,0.049,-0.001,0.004,0.000,0.000,-0.669%,mg/L,0.002,0.001,0.071,0.000,6.000,2
