"P_num","SAMPLE_ID","MDL","PQL","STATION","SAMPLE_TYPE","COLLECT_DATE","UNCERTAINTY","TEST_NAME","VALUE","UNITS","Preservation Time","Mineral Group","REMARK"
"P96825","P96825-1",0.3,1.2,"ST2C1B2","SURFACE WATER",2018-12-17 09:24:00,7.1,"CA",80.4,"mg/L","8-Hour Samples","High Mineral Group",NA
"P96825","P96825-1",0.1,0.4,"ST2C1B2","SURFACE WATER",2018-12-17 09:24:00,3.7,"CL",78,"mg/L","8-Hour Samples","High Mineral Group","J"
"P96825","P96825-1",1,4,"ST2C1B2","SURFACE WATER",2018-12-17 09:24:00,13,"COLOR",71,"PCU","8-Hour Samples","High Mineral Group","J"
"P96825","P96825-1",0.8,2,"ST2C1B2","SURFACE WATER",2018-12-17 09:24:00,1.9,"DOC",23.1,"mg/L","8-Hour Samples","High Mineral Group","J"
"P96825","P96825-1",0.1,0.4,"ST2C1B2","SURFACE WATER",2018-12-17 09:24:00,0.6,"K",7.4,"mg/L","8-Hour Samples","High Mineral Group",NA
"P96825","P96825-1",0.1,0.4,"ST2C1B2","SURFACE WATER",2018-12-17 09:24:00,1.6,"MG",22.1,"mg/L","8-Hour Samples","High Mineral Group",NA
"P96825","P96825-1",0.4,1.6,"ST2C1B2","SURFACE WATER",2018-12-17 09:24:00,4,"NA",54.6,"mg/L","8-Hour Samples","High Mineral Group",NA
"P96825","P96825-1",0.005,0.01,"ST2C1B2","SURFACE WATER",2018-12-17 09:24:00,0.055,"NH4",1.06,"mg/L","8-Hour Samples","High Mineral Group","L,J"
"P96825","P96825-1",0.002,0.004,"ST2C1B2","SURFACE WATER",2018-12-17 09:24:00,0.002,"NO2",0.003,"mg/L","8-Hour Samples","High Mineral Group","I,J"
"P96825","P96825-1",0.005,0.01,"ST2C1B2","SURFACE WATER",2018-12-17 09:24:00,0.005,"NOX",0.028,"mg/L","8-Hour Samples","High Mineral Group","J"
